               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.096651,            0.052688,            0.042231,             0.58404,               0.182,            0.094426,            0.017232,             0.10227,            0.050584,            0.038783,           0.0066496,           0.0066496,             0.03365
                  37,            0.091947,            0.048347,            0.041992,             0.57541,             0.22108,             0.13096,            0.033144,            0.091716,            0.050372,            0.038656,           0.0068132,           0.0068132,            0.031813
                  38,            0.088685,            0.053368,            0.042169,             0.15809,             0.25797,            0.038276,           0.0099431,             0.09889,            0.061526,            0.037455,           0.0069758,           0.0069758,            0.029976
                  39,            0.093737,            0.050224,             0.04227,             0.15809,             0.25797,            0.038276,           0.0099431,             0.09889,            0.061526,            0.037455,           0.0071375,           0.0071375,            0.028137
                  40,            0.086938,            0.051091,            0.039802,             0.20158,             0.48063,             0.13418,            0.023843,            0.086125,             0.05844,            0.037013,           0.0072981,           0.0072981,            0.026298
                  41,            0.077577,            0.052826,               0.041,             0.67201,             0.20149,             0.14794,            0.062291,            0.091218,            0.052796,            0.037044,           0.0074578,           0.0074578,            0.024458
                  42,             0.08955,            0.050993,            0.039106,             0.67201,             0.20149,             0.14794,            0.062291,            0.091218,            0.052796,            0.037044,           0.0076164,           0.0076164,            0.022616
                  43,            0.086923,            0.050465,            0.042515,             0.18675,             0.29649,             0.16543,            0.040809,             0.10654,            0.040224,            0.036641,           0.0077741,           0.0077741,            0.020774
                  44,             0.09561,            0.044755,            0.039372,             0.18675,             0.29649,             0.16543,            0.040809,             0.10654,            0.040224,            0.036641,           0.0079308,           0.0079308,            0.018931
                  45,            0.093994,            0.050353,            0.041291,             0.19053,             0.67189,             0.24905,            0.060237,            0.082704,            0.040584,            0.036137,           0.0080865,           0.0080865,            0.017086
                  46,            0.081365,            0.046232,            0.040851,             0.19053,             0.67189,             0.24905,            0.060237,            0.082704,            0.040584,            0.036137,           0.0082412,           0.0082412,            0.015241
                  47,            0.081074,            0.056863,            0.040119,             0.83643,              0.1678,             0.19287,            0.077364,            0.096842,            0.043164,             0.03552,           0.0083949,           0.0083949,            0.013395
                  48,            0.086701,            0.041724,            0.039686,             0.83643,              0.1678,             0.19287,            0.077364,            0.096842,            0.043164,             0.03552,           0.0085476,           0.0085476,            0.011548
                  49,            0.088236,            0.053665,             0.03975,             0.85567,             0.12054,              0.1993,            0.051224,            0.088689,            0.047978,            0.035516,           0.0086994,           0.0086994,           0.0096994
                  50,            0.083009,            0.051656,             0.03848,             0.85567,             0.12054,              0.1993,            0.051224,            0.088689,            0.047978,            0.035516,           0.0087625,           0.0087625,           0.0087625
                  51,            0.083279,            0.050954,            0.037774,             0.20814,             0.63611,             0.31462,             0.10189,            0.086299,            0.047358,            0.034159,           0.0087625,           0.0087625,           0.0087625
                  52,            0.082187,            0.056998,            0.038301,             0.20814,             0.63611,             0.31462,             0.10189,            0.086299,            0.047358,            0.034159,           0.0087378,           0.0087378,           0.0087378
                  53,            0.082556,            0.050635,            0.038853,            0.094498,              0.7461,             0.30707,            0.077425,            0.073124,            0.048484,            0.034233,            0.008713,            0.008713,            0.008713
                  54,            0.071808,            0.056069,              0.0404,            0.094498,              0.7461,             0.30707,            0.077425,            0.073124,            0.048484,            0.034233,           0.0086882,           0.0086882,           0.0086882
                  55,            0.073847,            0.050032,            0.038453,             0.82365,             0.21732,             0.25408,            0.094113,            0.080917,            0.048988,            0.033918,           0.0086635,           0.0086635,           0.0086635
                  56,            0.074222,            0.052766,            0.035518,             0.82365,             0.21732,             0.25408,            0.094113,            0.080917,            0.048988,            0.033918,           0.0086388,           0.0086388,           0.0086388
                  57,            0.073809,            0.053044,            0.035805,             0.53237,             0.41085,             0.23808,            0.066398,            0.072275,            0.046936,            0.033878,            0.008614,            0.008614,            0.008614
                  58,            0.073134,            0.052885,            0.036751,             0.53237,             0.41085,             0.23808,            0.066398,            0.072275,            0.046936,            0.033878,           0.0085893,           0.0085893,           0.0085893
                  59,            0.072059,            0.044511,            0.036563,             0.57399,             0.34649,             0.21211,            0.061854,            0.091244,            0.045232,            0.033342,           0.0085645,           0.0085645,           0.0085645
                  60,            0.080779,            0.049545,            0.036803,             0.57399,             0.34649,             0.21211,            0.061854,            0.091244,            0.045232,            0.033342,           0.0085398,           0.0085398,           0.0085398
                  61,             0.07935,            0.043321,            0.038588,             0.68433,             0.38919,             0.35785,             0.10138,            0.072706,            0.041586,            0.033311,            0.008515,            0.008515,            0.008515
                  62,            0.071191,            0.049223,            0.035974,             0.68433,             0.38919,             0.35785,             0.10138,            0.072706,            0.041586,            0.033311,           0.0084903,           0.0084903,           0.0084903
                  63,            0.071569,            0.045427,            0.035752,             0.52162,             0.41982,             0.42978,             0.15404,            0.075493,            0.042078,            0.031867,           0.0084655,           0.0084655,           0.0084655
                  64,            0.070771,            0.056335,            0.036868,             0.52162,             0.41982,             0.42978,             0.15404,            0.075493,            0.042078,            0.031867,           0.0084408,           0.0084408,           0.0084408
                  65,            0.071703,            0.049744,            0.035738,             0.61077,             0.39982,             0.40748,             0.13544,            0.077811,            0.045769,            0.031878,            0.008416,            0.008416,            0.008416
                  66,            0.074542,            0.048739,            0.034642,             0.61077,             0.39982,             0.40748,             0.13544,            0.077811,            0.045769,            0.031878,           0.0083913,           0.0083913,           0.0083913
                  67,            0.072895,            0.050026,             0.03539,              0.6449,             0.41171,             0.40561,             0.15794,            0.066363,            0.045115,            0.032002,           0.0083665,           0.0083665,           0.0083665
                  68,            0.064417,            0.052148,            0.036919,              0.6449,             0.41171,             0.40561,             0.15794,            0.066363,            0.045115,            0.032002,           0.0083418,           0.0083418,           0.0083418
                  69,             0.06454,            0.057647,            0.035661,             0.65351,             0.37297,             0.42842,             0.12694,            0.071961,            0.046675,            0.033405,            0.008317,            0.008317,            0.008317
                  70,            0.070525,            0.052427,            0.034901,             0.65351,             0.37297,             0.42842,             0.12694,            0.071961,            0.046675,            0.033405,           0.0082922,           0.0082922,           0.0082922
                  71,            0.068951,            0.038625,            0.033711,             0.69287,             0.36486,             0.36173,             0.14931,            0.068479,            0.047288,             0.03295,           0.0082675,           0.0082675,           0.0082675
                  72,            0.065535,              0.0605,            0.035313,             0.69287,             0.36486,             0.36173,             0.14931,            0.068479,            0.047288,             0.03295,           0.0082428,           0.0082428,           0.0082428
                  73,            0.066199,            0.063116,            0.034418,             0.64621,             0.35568,             0.33941,              0.1749,             0.07111,            0.049379,            0.031085,            0.008218,            0.008218,            0.008218
                  74,            0.070687,            0.053337,            0.033971,             0.64621,             0.35568,             0.33941,              0.1749,             0.07111,            0.049379,            0.031085,           0.0081932,           0.0081932,           0.0081932
                  75,            0.070701,            0.049247,            0.035659,             0.82087,             0.37568,             0.39518,             0.14029,            0.060818,            0.045724,            0.031287,           0.0081685,           0.0081685,           0.0081685
                  76,            0.061576,            0.047862,            0.035702,             0.82087,             0.37568,             0.39518,             0.14029,            0.060818,            0.045724,            0.031287,           0.0081437,           0.0081437,           0.0081437
                  77,            0.057103,            0.048017,            0.032653,             0.80641,             0.38378,             0.40656,             0.21715,            0.064241,            0.046451,            0.029742,            0.008119,            0.008119,            0.008119
                  78,            0.058701,            0.052251,            0.031683,             0.80641,             0.38378,             0.40656,             0.21715,            0.064241,            0.046451,            0.029742,           0.0080942,           0.0080942,           0.0080942
                  79,            0.058653,            0.054883,            0.032712,             0.68006,             0.37189,             0.40429,             0.14353,            0.065901,            0.050435,            0.029257,           0.0080695,           0.0080695,           0.0080695
                  80,            0.065938,            0.049344,            0.032389,             0.68006,             0.37189,             0.40429,             0.14353,            0.065901,            0.050435,            0.029257,           0.0080447,           0.0080447,           0.0080447
                  81,            0.065897,            0.048133,            0.031813,             0.70535,             0.38378,              0.4672,             0.15354,            0.058301,            0.043012,            0.028881,             0.00802,             0.00802,             0.00802
                  82,             0.05318,            0.050703,            0.033433,             0.70535,             0.38378,              0.4672,             0.15354,            0.058301,            0.043012,            0.028881,           0.0079953,           0.0079953,           0.0079953
                  83,            0.054915,            0.054318,            0.033148,              0.7286,             0.38919,             0.57053,             0.22749,            0.052469,            0.044331,            0.028399,           0.0079705,           0.0079705,           0.0079705
                  84,            0.051246,            0.053948,            0.031702,              0.7286,             0.38919,             0.57053,             0.22749,            0.052469,            0.044331,            0.028399,           0.0079457,           0.0079457,           0.0079457
                  85,            0.050135,            0.052595,            0.031917,             0.73356,             0.41034,             0.58703,             0.23138,            0.061743,            0.051553,            0.028412,            0.007921,            0.007921,            0.007921
                  86,            0.060561,            0.057866,            0.030771,             0.73356,             0.41034,             0.58703,             0.23138,            0.061743,            0.051553,            0.028412,           0.0078963,           0.0078963,           0.0078963
                  87,            0.059828,            0.055384,            0.033232,             0.86257,             0.36216,             0.57483,             0.26465,            0.056146,            0.041121,            0.028355,           0.0078715,           0.0078715,           0.0078715
                  88,            0.057583,            0.047491,            0.029771,             0.86257,             0.36216,             0.57483,             0.26465,            0.056146,            0.041121,            0.028355,           0.0078467,           0.0078467,           0.0078467
                  89,            0.055332,            0.056055,            0.032956,             0.33559,             0.80293,              0.6093,             0.27862,            0.051994,            0.042969,             0.02851,            0.007822,            0.007822,            0.007822
